WaterTankDHW,NG_Cogeneration,Air_Conditioner_Air,Battery,HeatPump_Air,ElectricalHeater_DHW,WaterTankSH,ElectricalHeater_SH,PV,NG_Boiler,ThermalSolar,HeatPump_Geothermal
0.0,0.0,0.0,0.0,0.0,0.0,0.46362454672,0.0,59.32126232,0.0,4.9007875275,10.9734327
0.0,62.93446686142,0.0,0.0,0.0,0.0,5.95372958075,0.0,716.4497992,0.0,0.0,153.91711296
0.0,0.0,0.0,0.0,0.0,0.0,0.34926055692,0.0,87.01268152,0.0,3.69189205645,8.23538064
0.0,146.40558048544,0.0,0.0,0.0,0.0,13.85026804536,0.0,937.5999808,0.0,0.0,254.87576625215
0.0,35.92985351801,0.0,0.0,0.0,0.0,3.399037799,0.0,163.51643304,0.0,0.0,90.07673031897
0.0,0.0,0.0,0.0,0.0,0.0,0.46915164758,0.0,159.0302913,0.0,4.95921227483,10.807065
0.0,0.0,0.0,0.0,0.0,0.0,1.73150351229,0.0,249.5120076,0.0,18.30302316165,39.7534204
0.0,0.0,0.0,0.0,0.0,0.0,0.95331904287,0.0,25.06345596,0.0,10.07714994408,22.88669736
0.0,187.02339522095,0.0,0.0,0.0,0.0,17.69279658586,0.0,935.1490378,0.0,0.0,393.37566972512
0.0,0.0,0.0,0.0,0.0,0.0,1.20760233199,0.0,63.1058591,0.0,12.76507572495,27.856507
0.0,0.0,0.0,0.0,0.0,0.0,1.13595826949,0.0,68.00892426,0.0,12.00775532334,26.701168
0.0,0.0,0.0,0.0,0.0,0.0,1.30794159746,0.0,94.21995362,0.0,13.82572150883,30.8334432
0.0,0.0,0.0,0.0,0.0,0.0,1.06426087645,0.0,116.50753032,0.0,11.24987118615,25.020906
0.0,0.0,0.0,0.0,0.0,0.0,0.78754461765,0.0,56.52113966,0.0,8.32481555795,18.485424
0.0,0.0,0.0,0.0,0.0,0.0,0.37402576086,0.0,38.87198076,0.0,3.95367500871,8.857599
0.0,0.0,0.0,0.0,0.0,0.0,0.37749791552,0.0,34.15536472,0.0,3.99037775104,8.9346216
0.0,0.0,0.0,0.0,0.0,0.0,0.97398086127,0.0,67.68251976,0.0,10.29555766784,22.6959928
0.0,0.0,0.0,0.0,0.0,0.0,1.11590952934,0.0,47.22928448,0.0,11.79582820185,26.2903808
0.0,0.0,0.0,0.0,0.0,0.0,0.32499780584,0.0,48.19428616,0.0,3.43542033015,7.4968664
0.0,0.0,0.0,0.0,0.0,0.0,0.88091247172,0.0,67.99987264,0.0,9.31176937201,20.6125696
0.0,0.0,0.0,0.0,0.0,0.0,1.53606203207,0.0,114.37184,0.0,16.23709033864,36.77381780045
0.0,0.0,0.0,0.0,0.0,0.0,0.74070314353,0.0,56.09928944,0.0,7.82967328431,17.6774519691
0.0,0.0,0.0,0.0,0.0,0.0,1.26046134658,0.0,86.64195968,0.0,13.32382698454,29.3712848
0.0,0.0,0.0,0.0,0.0,0.0,1.22906407509,0.0,82.61429854,0.0,12.99193912915,28.8578008
0.0,0.0,0.0,0.0,0.0,0.0,0.4202754132,0.0,25.27907634,0.0,4.44256137366,9.7818702
0.0,0.0,0.0,0.0,0.0,0.0,0.40847266494,0.0,35.9389539,0.0,4.31779929653,9.627825
0.0,0.0,0.0,0.0,0.0,0.0,1.78632843793,0.0,63.47908044,0.0,18.88255527156,42.234059
0.0,0.0,0.0,0.0,0.0,0.0,1.7694570636,0.0,100.91553612,0.0,18.70421479877,41.1814168
0.0,0.0,0.0,0.0,0.0,0.0,1.35636264579,0.0,80.04544776,0.0,14.33756082226,31.6306144
0.0,0.0,0.0,0.0,0.0,0.0,1.7831874337,0.0,100.89460296,0.0,18.84935298649,41.4895072
0.0,0.0,0.0,0.0,0.0,0.0,1.37280686359,0.0,69.5873507,0.0,14.51138599626,32.0414016
0.0,0.0,0.0,0.0,0.0,0.0,0.92523086008,0.0,48.26646736,0.0,9.78024112665,21.3609344
0.0,0.0,0.0,0.0,0.0,0.0,1.27216783518,0.0,108.37367372,0.0,13.44757153968,29.9833984
0.0,0.0,0.0,0.0,0.0,0.0,1.07596452237,0.0,56.8843198,0.0,11.37358569258,24.8526256
0.0,0.0,0.0,0.0,0.0,0.0,1.27520706172,0.0,107.26851514,0.0,13.47969797404,30.0606752
0.0,0.0,0.0,0.0,0.0,0.0,1.43441709289,0.0,71.14258256,0.0,15.16264280628,33.504831
0.0,0.0,0.0,0.0,0.0,0.0,2.08688159052,0.0,79.35626578,0.0,22.05958106108,49.166093
0.0,0.0,0.0,0.0,0.0,0.0,1.44726970851,0.0,69.95225044,0.0,15.29850260658,33.5818536
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9833667,0.0,8.53938059753,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.97987755493,0.0,122.59540662,0.0,10.35788923108,22.603464
0.0,0.0,0.0,0.0,0.0,0.0,1.04501206387,0.0,93.0195599,0.0,11.04639977532,24.3624009
0.0,0.0,0.0,0.0,0.0,0.0,0.99813432333,0.0,63.20934242,0.0,10.55087414418,23.0040832
0.0,0.0,0.0,0.0,0.0,0.0,0.69319761065,0.0,49.23377478,0.0,7.32751151423,16.3826816
0.0,0.0,0.0,0.0,0.0,0.0,0.30347156751,0.0,28.474137,0.0,3.20787517303,7.2401244
0.0,0.0,0.0,0.0,0.0,0.0,0.35773233128,0.0,35.71720208,0.0,3.78144375599,8.3184408
0.0,0.0,0.0,0.0,0.0,0.0,0.29371429373,0.0,29.32204202,0.0,3.10473497912,6.8550114
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.11674824,0.0,8.94476104794,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.77517771283,0.0,66.15126174,0.0,8.19409000998,19.1016048
0.0,0.0,0.0,0.0,0.0,0.0,0.88665667831,0.0,53.76716286,0.0,9.37248905613,20.8474504
0.0,0.0,0.0,0.0,0.0,0.0,1.39352456776,0.0,69.46155804,0.0,14.73038446583,32.5142136
0.0,0.0,0.0,0.0,0.0,0.0,0.97991630613,0.0,71.7381829,0.0,10.35829885432,23.3375936
0.0,0.0,0.0,0.0,0.0,0.0,0.39507764159,0.0,41.463861,0.0,4.17620592357,9.3197346
0.0,0.0,0.0,0.0,0.0,0.0,1.05288451348,0.0,62.54097434,0.0,11.12961625547,24.5445352
0.0,0.0,0.0,0.0,0.0,0.0,1.29029656532,0.0,74.29788962,0.0,13.63920301224,30.234548
0.0,0.0,0.0,0.0,0.0,0.0,1.57103625947,0.0,90.92464584,0.0,16.60678874787,36.585735
0.0,0.0,0.0,0.0,0.0,0.0,0.51843496057,0.0,43.40674816,0.0,5.48016623919,12.2209192
0.0,0.0,0.0,0.0,0.0,0.0,1.51056018849,0.0,69.09433018,0.0,15.9675206667,35.430396
0.0,0.0,0.0,0.0,0.0,0.0,1.16208158888,0.0,51.56214708,0.0,12.28389436466,27.728136
0.0,0.0,0.0,0.0,0.0,0.0,1.84296990643,0.0,74.61027086,0.0,19.48128932118,44.031253
0.0,0.0,0.0,0.0,0.0,0.0,1.13970759374,0.0,62.0897006,0.0,12.04738791322,26.2903808
0.0,0.0,0.0,0.0,0.0,0.0,0.91985936444,0.0,52.29228782,0.0,9.72346121927,21.4636312
0.0,0.0,0.0,0.0,0.0,0.0,0.28997042272,0.0,31.65718306,0.0,3.06516003319,6.675292
0.0,0.0,0.0,0.0,0.0,0.0,1.17506729088,0.0,53.04827164,0.0,12.42116096727,27.856507
0.0,0.0,0.0,0.0,0.0,0.0,0.3195907676,0.0,31.65473948,0.0,3.37826471621,7.591683
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.67040272,0.0,3.1528874735,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.44119600507,0.0,45.51880096,0.0,4.66370448706,10.4213103
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.18393338,0.0,15.62737888988,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.16518206927,0.0,34.44962938,0.0,1.7460728311,3.9998308
0.0,0.0,0.0,0.0,0.0,0.0,0.23857715518,0.0,23.00333748,0.0,2.52190259281,5.5456272
0.0,0.0,0.0,0.0,0.0,0.0,1.30370673353,0.0,70.81020958,0.0,13.78095647535,30.0901624
0.0,0.0,0.0,0.0,0.0,0.0,0.40421746781,0.0,34.70662598,0.0,4.27281932906,9.3967572
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.44522819,0.0,0.0,5.51343861987
0.0,0.0,0.0,0.0,0.0,0.0,0.76498797433,0.0,90.72990922,0.0,8.0863784065,17.4071076
0.0,0.0,0.0,0.0,0.0,0.0,0.29637757201,0.0,56.36770108,0.0,3.13288741641,6.9935504
0.0,0.0,0.0,0.0,0.0,0.0,0.4970727423,0.0,91.53981288,0.0,5.25435487177,11.50255
0.0,0.0,0.0,0.0,0.0,0.0,0.23384353334,0.0,33.92998444,0.0,2.47186539127,5.521224
0.0,0.0,0.0,0.0,0.0,0.0,0.36301631177,0.0,59.58900978,0.0,3.83729857623,8.3738564
0.0,0.0,0.0,0.0,0.0,0.0,0.48588148442,0.0,46.98205778,0.0,5.13605661208,11.3223222
0.0,0.0,0.0,0.0,0.0,0.0,1.82976209963,0.0,98.8825653,0.0,19.34167493866,42.2083848
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.49018272,0.0,10.62794629766,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.28452672392,0.0,31.96638472,0.0,3.00761689542,6.7779888
0.0,0.0,0.0,0.0,0.0,0.0,0.42497314229,0.0,30.27173068,0.0,4.49221916745,9.9359154
0.0,0.0,0.0,0.0,0.0,0.0,1.15311273039,0.0,72.44645272,0.0,12.18908818989,26.829539
0.0,0.0,0.0,0.0,0.0,0.0,0.29993970081,0.0,36.35618544,0.0,3.1705412389,6.9833824
0.0,0.0,0.0,0.0,0.0,0.0,0.74786374569,0.0,46.30862568,0.0,7.905365113,17.2530624
0.0,0.0,0.0,0.0,0.0,0.0,0.69019913764,0.0,41.15833814,0.0,7.29581586908,16.2260944
0.0,0.0,0.0,0.0,0.0,0.0,1.43315031704,0.0,69.98600274,0.0,15.14925223122,33.37646
0.0,0.0,0.0,0.0,0.0,0.0,1.30455527106,0.0,61.52379962,0.0,13.78992602229,30.6016128
0.0,0.0,0.0,0.0,0.0,0.0,0.98686995483,0.0,61.16483346,0.0,10.43180306162,23.2094768
0.0,0.0,0.0,0.0,0.0,0.0,0.78809450923,0.0,53.30664466,0.0,8.33062823938,18.5881208
0.0,0.0,0.0,0.0,0.0,0.0,1.30520520219,0.0,67.02746646,0.0,13.79679618137,30.295556
0.0,0.0,0.0,0.0,0.0,0.0,0.78844896853,0.0,51.86543214,0.0,8.33437508517,18.5881208
0.0,0.0,0.0,0.0,0.0,0.0,0.99557004306,0.0,61.53024914,0.0,10.52376817478,23.2094768
0.0,0.0,0.0,0.0,0.0,0.0,1.28552341244,0.0,79.79412902,0.0,13.58874794408,30.1928592
0.0,0.0,0.0,0.0,0.0,0.0,1.25855053804,0.0,79.99501572,0.0,13.30362860043,29.5766784
0.0,0.0,0.0,0.0,0.0,0.0,0.42638336232,0.0,32.09592484,0.0,4.50712603289,9.9359154
0.0,0.0,0.0,0.0,0.0,0.0,1.28442220242,0.0,79.05369674,0.0,13.5771074984,30.0901624
0.0,0.0,0.0,0.0,0.0,0.0,2.05309917313,0.0,80.63085878,0.0,21.70248079326,48.3701928
0.0,59.19511912755,0.0,0.0,0.0,0.0,5.59997961946,0.0,232.9841778,0.0,0.0,154.83318298848
0.0,0.0,0.0,0.0,0.0,0.0,1.38810062173,0.0,78.87785612,0.0,14.67305012659,32.349492
0.0,0.0,0.0,0.0,0.0,0.0,2.25669710053,0.0,78.37078304,0.0,23.85463211977,53.91582
0.0,0.0,0.0,0.0,0.0,0.0,0.70514795414,0.0,60.1858739,0.0,7.45383376086,16.431488
0.0,0.0,0.0,0.0,0.0,0.0,2.14063843384,0.0,75.77530702,0.0,22.62782290493,51.1430064
0.0,0.0,0.0,0.0,0.0,0.0,0.7147266993,0.0,51.91157102,0.0,7.555086801,16.4058138
0.0,0.0,0.0,0.0,0.0,0.0,1.49889922289,0.0,136.33079546,0.0,15.84425731669,35.0597724
0.0,0.0,0.0,0.0,0.0,0.0,1.0325228231,0.0,67.57568212,0.0,10.91438106359,24.133748
0.0,0.0,0.0,0.0,0.0,0.0,0.44163812277,0.0,46.09492906,0.0,4.66837793443,10.26968
0.0,0.0,0.0,0.0,0.0,0.0,0.79398999506,0.0,73.16133588,0.0,8.39294703506,18.3313788
0.0,0.0,0.0,0.0,0.0,0.0,1.1722250353,0.0,67.5861665,0.0,12.3911166333,27.3173488
0.0,0.0,0.0,0.0,0.0,0.0,0.61484442953,0.0,41.71759648,0.0,6.49927173385,14.1721584
0.0,0.0,0.0,0.0,0.0,0.0,0.92043768777,0.0,88.2944118,0.0,9.72957444126,21.2582376
0.0,0.0,0.0,0.0,0.0,0.0,0.47925527034,0.0,45.3011097,0.0,5.06601358365,11.168277
0.0,0.0,0.0,0.0,0.0,0.0,1.87510127433,0.0,84.6512217,0.0,19.82093701276,44.287995
0.0,0.0,0.0,0.0,0.0,0.0,1.16693968257,0.0,51.771224,0.0,12.33524730776,27.728136
0.0,0.0,0.0,0.0,0.0,0.0,0.83178808129,0.0,41.01871772,0.0,8.79249531369,19.4096952
0.0,0.0,0.0,0.0,0.0,0.0,1.22743418661,0.0,57.2246683,0.0,12.97471023738,28.755104
0.0,0.0,0.0,0.0,0.0,0.0,0.86613896071,0.0,64.64200222,0.0,9.15560456363,20.1285728
0.0,0.0,0.0,0.0,0.0,0.0,0.57676182291,0.0,60.06682436,0.0,6.09671590535,13.5559776
0.0,0.0,0.0,0.0,0.0,0.0,0.56108105731,0.0,41.99115616,0.0,5.93096087566,13.0424936
0.0,0.0,0.0,0.0,0.0,0.0,1.07954632658,0.0,48.4375651,0.0,11.41144749595,25.545829
0.0,0.0,0.0,0.0,0.0,0.0,0.78883577002,0.0,59.42427078,0.0,8.33846380726,18.3827272
0.0,0.0,0.0,0.0,0.0,0.0,1.87357345721,0.0,84.58224858,0.0,19.80478707611,44.287995
0.0,0.0,0.0,0.0,0.0,0.0,0.72970373014,0.0,46.57569402,0.0,7.71340293509,17.3674524
0.0,0.0,0.0,0.0,0.0,0.0,0.5756585146,0.0,45.62241942,0.0,6.08505327951,13.6330002
0.0,0.0,0.0,0.0,0.0,0.0,0.9747212835,0.0,59.10438536,0.0,10.30338437168,22.593296
0.0,0.0,0.0,0.0,0.0,0.0,0.81235855074,0.0,45.31684384,0.0,8.58711360631,18.7935144
0.0,0.0,0.0,0.0,0.0,0.0,1.12900894707,0.0,66.75054414,0.0,11.93429684734,26.187684
0.0,0.0,0.0,0.0,0.0,0.0,0.59209744446,0.0,42.28800878,0.0,6.2588225568,13.80306
0.0,35.12626684942,0.0,0.0,0.0,0.0,3.3230168528,0.0,192.94569138,0.0,0.0,91.44099713527
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.9214781,0.0,15.59027646766,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.24413838913,0.0,27.58987716,0.0,2.58068814711,5.648324
0.0,35.01655875294,0.0,0.0,0.0,0.0,3.31263824197,0.0,196.88067686,0.0,0.0,91.67276295256
0.0,0.0,0.0,0.0,0.0,0.0,1.69399570095,0.0,79.34520188,0.0,17.90654326149,39.923381
0.0,0.0,0.0,0.0,0.0,0.0,1.71098389393,0.0,80.69127662,0.0,18.08611857698,39.923381
0.0,0.0,0.0,0.0,0.0,0.0,1.71976341531,0.0,100.50175934,0.0,18.17892334584,40.051752
0.0,0.0,0.0,0.0,0.0,0.0,1.65322330849,0.0,93.2025509,0.0,17.47555479496,38.5113
0.0,0.0,0.0,0.0,0.0,0.0,1.0286937001,0.0,59.72491308,0.0,10.87390495339,24.133748
0.0,0.0,0.0,0.0,0.0,0.0,0.88654322068,0.0,54.7518466,0.0,9.37128974143,20.8474504
0.0,0.0,0.0,0.0,0.0,0.0,1.44147913301,0.0,69.787358,0.0,15.23729277549,33.5818536
0.0,0.0,0.0,0.0,0.0,0.0,1.00539837491,0.0,58.0572874,0.0,10.6276594948,23.4148704
0.0,0.0,0.0,0.0,0.0,0.0,0.89189533956,0.0,54.84100208,0.0,9.42786482487,20.8474504
0.0,0.0,0.0,0.0,0.0,0.0,0.42270971612,0.0,41.5418759,0.0,4.46829340501,9.7818702
0.0,0.0,0.0,0.0,0.0,0.0,1.20276801937,0.0,69.35005624,0.0,12.71397416201,27.9335296
0.0,0.0,0.0,0.0,0.0,0.0,1.24658084439,0.0,87.45444276,0.0,13.17710181111,29.3315025
0.0,0.0,0.0,0.0,0.0,0.0,0.95870057932,0.0,51.19521612,0.0,10.13403598883,22.1825088
0.0,0.0,0.0,0.0,0.0,0.0,0.45982235015,0.0,46.87801174,0.0,4.86059604573,10.6291188
0.0,0.0,0.0,0.0,0.0,0.0,1.56598060164,0.0,58.41777258,0.0,16.55334743426,37.355961
0.0,0.0,0.0,0.0,0.0,0.0,0.46802355613,0.0,41.72541498,0.0,4.94728767646,10.9504276
0.0,0.0,0.0,0.0,0.0,0.0,0.74470193524,0.0,33.73576642,0.0,7.87194289388,17.54487881432
0.0,0.0,0.0,0.0,0.0,0.0,0.31426301822,0.0,42.9134094,0.0,3.32194723288,7.3156218
0.0,62.09752687458,0.0,0.0,0.0,0.0,5.87455334227,0.0,319.2491186,0.0,0.0,152.8616448
0.0,0.0,0.0,0.0,0.0,0.0,1.56932250882,0.0,82.16727786,0.0,16.58867338308,36.200622
0.0,0.0,0.0,0.0,0.0,0.0,0.8791414742,0.0,158.44715406,0.0,9.29304887372,22.20530720421
0.0,0.0,0.0,0.0,0.0,0.0,0.55383162862,0.0,39.86902594,0.0,5.85433009771,13.0424936
0.0,0.0,0.0,0.0,0.0,0.0,0.39311986031,0.0,41.1210647,0.0,4.1555110096,9.242712
0.0,0.0,0.0,0.0,0.0,0.0,1.08258518954,0.0,61.45558704,0.0,11.44357008695,26.24150877128
0.0,0.0,0.0,0.0,0.0,0.0,1.06350766635,0.0,58.078045,0.0,11.24190930692,24.6512992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.79907504,0.0,7.72272897997,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.45444553384,0.0,28.3492905,0.0,4.80375989569,10.6804672
0.0,0.0,0.0,0.0,0.0,0.0,0.80604332209,0.0,64.9409848,0.0,8.52035787908,19.0100928
0.0,0.0,0.0,0.0,0.0,0.0,0.46821841143,0.0,33.35781604,0.0,4.94934741293,10.9885576
0.0,0.0,0.0,0.0,0.0,0.0,0.44883771601,0.0,30.53869576,0.0,4.74448192202,10.6743664
0.0,0.0,0.0,0.0,0.0,0.0,1.73407707659,0.0,78.28470124,0.0,18.33022726877,40.7706296
0.0,0.0,0.0,0.0,0.0,0.0,0.25146132088,0.0,21.56551062,0.0,2.65809589628,6.0077628
0.0,0.0,0.0,0.0,0.0,0.0,1.1408999915,0.0,58.38754574,0.0,12.05999226757,26.5984712
0.0,0.0,0.0,0.0,0.0,0.0,1.58469484423,0.0,78.45427764,0.0,16.75116812199,36.970848
0.0,0.0,0.0,0.0,0.0,0.0,1.86839945022,0.0,90.77225842,0.0,19.75009474132,43.2353528
